	Category	Term	Description	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Mean_Gene_Len	Stdv_Gene_Len
10	GOTERM_BP_DIRECT	GO:0007379	segment specification	6	0.89286	0.00246	FBGN0010825, FBGN0041111, FBGN0016917, FBGN0266557, FBGN0000015, FBGN0261885	544	20	10945	6.03585	0.968	0.31231	0.31119	4242.16667	2829.74088
11	GOTERM_BP_DIRECT	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	29	4.31548	0.00372	FBGN0043900, FBGN0039585, FBGN0014340, FBGN0043884, FBGN0033782, FBGN0260397, FBGN0019650, FBGN0262656, FBGN0262975, FBGN0000015, FBGN0000611, FBGN0004656, FBGN0003862, FBGN0004110, FBGN0001185, FBGN0004372, FBGN0039907, FBGN0011481, FBGN0037794, FBGN0061200, FBGN0261617, FBGN0041111, FBGN0025800, FBGN0265598, FBGN0002723, FBGN0026577, FBGN0265630, FBGN0031698, FBGN0033636	544	329	10945	1.77345	0.99453	0.37601	0.37467	5565.82759	3589.69137
12	GOTERM_BP_DIRECT	GO:0007616	long-term memory	11	1.6369	0.00377	FBGN0030600, FBGN0003520, FBGN0019985, FBGN0028397, FBGN0261934, FBGN0041210, FBGN0038934, FBGN0016917, FBGN0000108, FBGN0002932, FBGN0037705	544	75	10945	2.95086	0.9949	0.37601	0.37467	6064.45455	3482.18328
13	GOTERM_BP_DIRECT	GO:0006338	chromatin remodeling	11	1.6369	0.00377	FBGN0039124, FBGN0061200, FBGN0039633, FBGN0033233, FBGN0052529, FBGN0266557, FBGN0033636, FBGN0261885, FBGN0053182, FBGN0004656, FBGN0005624	544	75	10945	2.95086	0.9949	0.37601	0.37467	5456.81818	3612.10414
14	GOTERM_BP_DIRECT	GO:0006357	regulation of transcription from RNA polymerase II promoter	49	7.29167	0.00432	FBGN0043900, FBGN0036374, FBGN0035481, FBGN0039602, FBGN0033782, FBGN0086758, FBGN0000015, FBGN0003567, FBGN0000611, FBGN0005624, FBGN0029711, FBGN0050401, FBGN0001185, FBGN0004372, FBGN0031885, FBGN0051612, FBGN0259789, FBGN0261239, FBGN0001994, FBGN0020379, FBGN0002723, FBGN0004861, FBGN0031610, FBGN0003254, FBGN0052971, FBGN0016917, FBGN0037445, FBGN0085405, FBGN0019650, FBGN0262656, FBGN0262975, FBGN0028647, FBGN0261885, FBGN0004110, FBGN0027592, FBGN0035106, FBGN0039907, FBGN0010768, FBGN0052767, FBGN0011481, FBGN0033010, FBGN0004607, FBGN0025800, FBGN0004606, FBGN0026575, FBGN0026411, FBGN0030664, FBGN0035357, FBGN0038547	544	657	10945	1.50054	0.99766	0.40256	0.40112	4194.63265	2311.12065
15	GOTERM_BP_DIRECT	GO:1901215	negative regulation of neuron death	5	0.74405	0.00528	FBGN0045035, FBGN0022960, FBGN0000108, FBGN0028408, FBGN0038816	544	15	10945	6.7065	0.99939	0.46115	0.4595	5953.4	1858.69757
16	GOTERM_BP_DIRECT	GO:0016319	mushroom body development	11	1.6369	0.00655	FBGN0266098, FBGN0026199, FBGN0264975, FBGN0019650, FBGN0025800, FBGN0086758, FBGN0032059, FBGN0033159, FBGN0025743, FBGN0000108, FBGN0024913	544	81	10945	2.73228	0.9999	0.52542	0.52354	5420.81818	3688.02223
17	GOTERM_BP_DIRECT	GO:0007611	learning or memory	5	0.74405	0.00677	FBGN0003301, FBGN0004103, FBGN0041111, FBGN0000108, FBGN0000017	544	16	10945	6.28734	0.99992	0.52542	0.52354	6178.6	2194.58585
18	GOTERM_BP_DIRECT	GO:0098609	cell-cell adhesion	8	1.19048	0.00796	FBGN0262509, FBGN0039431, FBGN0029830, FBGN0001075, FBGN0264975, FBGN0261574, FBGN0021764, FBGN0000633	544	47	10945	3.42459	0.99999	0.54046	0.53853	7758.625	5087.20117
19	GOTERM_BP_DIRECT	GO:0007613	memory	6	0.89286	0.00816	FBGN0003301, FBGN0010329, FBGN0267366, FBGN0041210, FBGN0003996, FBGN0000479	544	26	10945	4.64296	0.99999	0.54046	0.53853	4598.83333	2501.48645
20	GOTERM_BP_DIRECT	GO:0048675	axon extension	6	0.89286	0.00816	FBGN0003301, FBGN0000464, FBGN0010341, FBGN0264975, FBGN0046704, FBGN0000479	544	26	10945	4.64296	0.99999	0.54046	0.53853	5762.33333	2237.5826
21	GOTERM_BP_DIRECT	GO:0000077	DNA damage checkpoint	5	0.74405	0.00851	FBGN0264495, FBGN0014340, FBGN0045035, FBGN0002901, FBGN0020238	544	17	10945	5.9175	0.99999	0.54046	0.53853	3442.2	2611.76403
22	KEGG_PATHWAY	dme04391:Hippo signaling pathway - fly		7	1.04167	0.00928	FBGN0010382, FBGN0010825, FBGN0001075, FBGN0262656, FBGN0260941, FBGN0026192, FBGN0020238	108	56	3261	3.77431	0.489	0.67756	0.67756		
23	GOTERM_BP_DIRECT	GO:0016573	histone acetylation	9	1.33929	0.01011	FBGN0036374, FBGN0027620, FBGN0003862, FBGN0039585, FBGN0014340, FBGN0053554, FBGN0261617, FBGN0041210, FBGN0036039	544	61	10945	2.96845	1.0	0.61422	0.61202	6989.66667	4401.50775
24	GOTERM_BP_DIRECT	GO:0007614	short-term memory	6	0.89286	0.01123	FBGN0003301, FBGN0266098, FBGN0019985, FBGN0000108, FBGN0266557, FBGN0000479	544	28	10945	4.31132	1.0	0.65436	0.65202	6838.0	4483.33845
25	GOTERM_BP_DIRECT	GO:0016571	histone methylation	5	0.74405	0.01281	FBGN0003862, FBGN0264495, FBGN0005386, FBGN0036398, FBGN0025639	544	19	10945	5.2946	1.0	0.71608	0.71352	7893.0	4545.84263
26	GOTERM_BP_DIRECT	GO:0031396	regulation of protein ubiquitination	3	0.44643	0.01379	FBGN0052672, FBGN0043362, FBGN0000257	544	4	10945	15.08961	1.0	0.74139	0.73873	5479.0	4791.57372
27	GOTERM_BP_DIRECT	GO:0007432	salivary gland boundary specification	4	0.59524	0.01486	FBGN0015774, FBGN0005631, FBGN0264089, FBGN0000611	544	11	10945	7.31618	1.0	0.74208	0.73942	6182.5	2257.94049
28	GOTERM_BP_DIRECT	GO:0007612	learning	4	0.59524	0.01486	FBGN0003301, FBGN0010329, FBGN0019985, FBGN0000479	544	11	10945	7.31618	1.0	0.74208	0.73942	5466.5	1984.87361
29	GOTERM_BP_DIRECT	GO:0006281	DNA repair	11	1.6369	0.01784	FBGN0264495, FBGN0052479, FBGN0036730, FBGN0030674, FBGN0014340, FBGN0050169, FBGN0036486, FBGN0053554, FBGN0260794, FBGN0045035, FBGN0002901	544	94	10945	2.35441	1.0	0.86014	0.85706	6137.90909	4710.23451
30	GOTERM_BP_DIRECT	GO:0044719	regulation of imaginal disc-derived wing size	4	0.59524	0.0191	FBGN0026199, FBGN0053196, FBGN0025800, FBGN0024913	544	12	10945	6.7065	1.0	0.88999	0.88681	17032.5	23321.86582
31	GOTERM_BP_DIRECT	GO:0070373	negative regulation of ERK1 and ERK2 cascade	5	0.74405	0.02149	FBGN0032208, FBGN0016641, FBGN0011230, FBGN0262866, FBGN0003416	544	22	10945	4.57261	1.0	0.94172	0.93835	8056.2	4258.88339
32	GOTERM_BP_DIRECT	GO:0048149	behavioral response to ethanol	8	1.19048	0.02193	FBGN0026575, FBGN0003301, FBGN0010329, FBGN0243516, FBGN0025777, FBGN0026718, FBGN0000479, FBGN0037705	544	57	10945	2.82379	1.0	0.94172	0.93835	4815.75	2416.21873
33	GOTERM_BP_DIRECT	GO:1900242	regulation of synaptic vesicle endocytosis	3	0.44643	0.02223	FBGN0010300, FBGN0261671, FBGN0038816	544	5	10945	12.07169	1.0	0.94172	0.93835	10177.33333	4370.99488
34	GOTERM_BP_DIRECT	GO:0046622	positive regulation of organ growth	4	0.59524	0.02393	FBGN0262656, FBGN0259168, FBGN0043362, FBGN0266557	544	13	10945	6.19061	1.0	0.98397	0.98045	6086.5	3886.96273
35	GOTERM_BP_DIRECT	GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	6	0.89286	0.02495	FBGN0010825, FBGN0260938, FBGN0010015, FBGN0035106, FBGN0004390, FBGN0003416	544	34	10945	3.5505	1.0	0.99665	0.99309	6960.5	2810.0281
36	GOTERM_BP_DIRECT	GO:0007409	axonogenesis	8	1.19048	0.02602	FBGN0010341, FBGN0030276, FBGN0027491, FBGN0264975, FBGN0250788, FBGN0000108, FBGN0033987, FBGN0000017	544	59	10945	2.72807	1.0	1.0	0.99714	4635.0	2131.28148
37	GOTERM_BP_DIRECT	GO:0048749	compound eye development	12	1.78571	0.02733	FBGN0015774, FBGN0038223, FBGN0026411, FBGN0026313, FBGN0000662, FBGN0261617, FBGN0004395, FBGN0019650, FBGN0025743, FBGN0043362, FBGN0002932, FBGN0000017	544	115	10945	2.09942	1.0	1.0	0.99714	5756.91667	3487.46153
38	GOTERM_BP_DIRECT	GO:0035556	intracellular signal transduction	13	1.93452	0.02784	FBGN0085386, FBGN0261549, FBGN0259927, FBGN0085413, FBGN0033266, FBGN0017581, FBGN0262866, FBGN0025743, FBGN0020621, FBGN0003416, FBGN0003301, FBGN0023172, FBGN0004390	544	130	10945	2.01195	1.0	1.0	0.99714	5677.23077	1784.72123
39	GOTERM_BP_DIRECT	GO:0050808	synapse organization	8	1.19048	0.0306	FBGN0030600, FBGN0029830, FBGN0264975, FBGN0000108, FBGN0004449, FBGN0085382, FBGN0046704, FBGN0038816	544	61	10945	2.63862	1.0	1.0	0.99714	7526.75	4149.80243
40	GOTERM_BP_DIRECT	GO:0000187	activation of MAPK activity	3	0.44643	0.03226	FBGN0024326, FBGN0025743, FBGN0261524	544	6	10945	10.05974	1.0	1.0	0.99714	2777.0	587.62119
41	GOTERM_BP_DIRECT	GO:0007528	neuromuscular junction development	7	1.04167	0.03321	FBGN0003301, FBGN0266098, FBGN0019985, FBGN0261041, FBGN0262866, FBGN0011802, FBGN0038816	544	49	10945	2.87421	1.0	1.0	0.99714	7131.42857	3883.38361
42	GOTERM_BP_DIRECT	GO:0009888	tissue development	4	0.59524	0.03538	FBGN0015774, FBGN0261239, FBGN0001075, FBGN0031981	544	15	10945	5.3652	1.0	1.0	0.99714	9349.0	4836.29936
43	GOTERM_BP_DIRECT	GO:0045467	R7 cell development	4	0.59524	0.03538	FBGN0039883, FBGN0000464, FBGN0004449, FBGN0046704	544	15	10945	5.3652	1.0	1.0	0.99714	8687.75	2553.57684
44	GOTERM_BP_DIRECT	GO:0016199	axon midline choice point recognition	5	0.74405	0.03762	FBGN0005631, FBGN0264089, FBGN0038853, FBGN0250788, FBGN0000017	544	26	10945	3.86913	1.0	1.0	0.99714	7174.6	1192.70023
45	GOTERM_BP_DIRECT	GO:0051568	histone H3-K4 methylation	5	0.74405	0.03762	FBGN0003862, FBGN0005386, FBGN0261617, FBGN0031698, FBGN0031885	544	26	10945	3.86913	1.0	1.0	0.99714	9501.0	3578.34627
46	GOTERM_BP_DIRECT	GO:0007286	spermatid development	5	0.74405	0.03762	FBGN0010341, FBGN0243516, FBGN0266717, FBGN0004372, FBGN0011224	544	26	10945	3.86913	1.0	1.0	0.99714	4614.4	5505.78473
47	GOTERM_BP_DIRECT	GO:0007549	dosage compensation	4	0.59524	0.04198	FBGN0014340, FBGN0264270, FBGN0061200, FBGN0005617	544	16	10945	5.02987	1.0	1.0	0.99714	3992.25	2631.31938
48	GOTERM_BP_DIRECT	GO:0072499	photoreceptor cell axon guidance	5	0.74405	0.04249	FBGN0005631, FBGN0263391, FBGN0264975, FBGN0250788, FBGN0000017	544	27	10945	3.72583	1.0	1.0	0.99714	6115.2	1499.24466
49	GOTERM_BP_DIRECT	GO:0070868	heterochromatin organization involved in chromatin silencing	5	0.74405	0.04249	FBGN0035608, FBGN0026577, FBGN0000662, FBGN0263144, FBGN0036398	544	27	10945	3.72583	1.0	1.0	0.99714	6114.6	4232.90626
50	GOTERM_BP_DIRECT	GO:1990709	presynaptic active zone organization	3	0.44643	0.0437	FBGN0039883, FBGN0030706, FBGN0046704	544	7	10945	8.62264	1.0	1.0	0.99714	7310.66667	1986.33571
51	GOTERM_BP_DIRECT	GO:0060968	regulation of gene silencing	3	0.44643	0.0437	FBGN0261239, FBGN0039214, FBGN0034834	544	7	10945	8.62264	1.0	1.0	0.99714	5958.66667	4768.72592
52	GOTERM_BP_DIRECT	GO:0006511	ubiquitin-dependent protein catabolic process	12	1.78571	0.04604	FBGN0037760, FBGN0032208, FBGN0052479, FBGN0026175, FBGN0031057, FBGN0266717, FBGN0011230, FBGN0028476, FBGN0039214, FBGN0260794, FBGN0051528, FBGN0262166	544	125	10945	1.93147	1.0	1.0	0.99714	7171.08333	5160.43334
53	GOTERM_BP_DIRECT	GO:0008406	gonad development	5	0.74405	0.0477	FBGN0005631, FBGN0264089, FBGN0003254, FBGN0004110, FBGN0003701	544	28	10945	3.59277	1.0	1.0	0.99714	5129.4	2448.04621
54	GOTERM_BP_DIRECT	GO:0007442	hindgut morphogenesis	4	0.59524	0.04916	FBGN0003254, FBGN0016917, FBGN0261574, FBGN0003701	544	17	10945	4.734	1.0	1.0	0.99714	6656.75	4422.12265
55	GOTERM_BP_DIRECT	GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	4	0.59524	0.04916	FBGN0003862, FBGN0038773, FBGN0033865, FBGN0004656	544	17	10945	4.734	1.0	1.0	0.99714	6259.5	4693.83002
56	GOTERM_BP_DIRECT	GO:0007446	imaginal disc growth	4	0.59524	0.04916	FBGN0002431, FBGN0264270, FBGN0001075, FBGN0032475	544	17	10945	4.734	1.0	1.0	0.99714	7790.5	6022.36467
57	GOTERM_BP_DIRECT	GO:0008088	axo-dendritic transport	4	0.59524	0.04916	FBGN0266521, FBGN0040395, FBGN0030276, FBGN0038816	544	17	10945	4.734	1.0	1.0	0.99714	4041.75	2105.72759
58	KEGG_PATHWAY	dme04350:TGF-beta signaling pathway		5	0.74405	0.05074	FBGN0026175, FBGN0261617, FBGN0025800, FBGN0262656, FBGN0024913	108	43	3261	3.51098	0.97646	1.0	1.0		
59	GOTERM_BP_DIRECT	GO:0040008	regulation of growth	5	0.74405	0.05324	FBGN0029944, FBGN0033266, FBGN0001075, FBGN0017581, FBGN0020238	544	29	10945	3.46888	1.0	1.0	0.99714	5947.4	5586.58613
60	GOTERM_BP_DIRECT	GO:0032924	activin receptor signaling pathway	3	0.44643	0.05639	FBGN0026199, FBGN0025800, FBGN0024913	544	8	10945	7.54481	1.0	1.0	0.99714	3568.33333	278.26406
61	GOTERM_BP_DIRECT	GO:0009887	animal organ morphogenesis	4	0.59524	0.05688	FBGN0015774, FBGN0014135, FBGN0031981, FBGN0000611	544	18	10945	4.471	1.0	1.0	0.99714	5814.75	2806.84212
62	GOTERM_BP_DIRECT	GO:0048190	wing disc dorsal/ventral pattern formation	7	1.04167	0.05791	FBGN0265630, FBGN0041111, FBGN0264978, FBGN0261885, FBGN0040071, FBGN0020238, FBGN0036814	544	56	10945	2.51494	1.0	1.0	0.99714	4439.0	2502.72851
63	GOTERM_BP_DIRECT	GO:0048813	dendrite morphogenesis	11	1.6369	0.05924	FBGN0005631, FBGN0264089, FBGN0010341, FBGN0030276, FBGN0264975, FBGN0025800, FBGN0262975, FBGN0020379, FBGN0000017, FBGN0085450, FBGN0004656	544	115	10945	1.92447	1.0	1.0	0.99714	5575.81818	2137.72261
64	GOTERM_BP_DIRECT	GO:0045886	negative regulation of synaptic growth at neuromuscular junction	6	0.89286	0.06024	FBGN0030600, FBGN0039431, FBGN0261041, FBGN0000017, FBGN0263456, FBGN0038826	544	43	10945	2.80737	1.0	1.0	0.99714	6655.83333	4951.77909
65	KEGG_PATHWAY	dme04068:FoxO signaling pathway		6	0.89286	0.06033	FBGN0036196, FBGN0052672, FBGN0261617, FBGN0025800, FBGN0045035, FBGN0025777	108	65	3261	2.78718	0.98867	1.0	1.0		
66	GOTERM_BP_DIRECT	GO:0031507	heterochromatin assembly	8	1.19048	0.06148	FBGN0264495, FBGN0004861, FBGN0032475, FBGN0052529, FBGN0262166, FBGN0025639, FBGN0265623, FBGN0005624	544	71	10945	2.26698	1.0	1.0	0.99714	4922.5	2223.97786
67	GOTERM_BP_DIRECT	GO:0018105	peptidyl-serine phosphorylation	7	1.04167	0.06214	FBGN0027101, FBGN0017581, FBGN0259168, FBGN0262866, FBGN0025743, FBGN0020621, FBGN0038816	544	57	10945	2.47081	1.0	1.0	0.99714	4879.57143	1344.16568
68	GOTERM_BP_DIRECT	GO:0007274	neuromuscular synaptic transmission	7	1.04167	0.06214	FBGN0003301, FBGN0053547, FBGN0010341, FBGN0261041, FBGN0250788, FBGN0004449, FBGN0263456	544	57	10945	2.47081	1.0	1.0	0.99714	6389.85714	3852.37676
69	GOTERM_BP_DIRECT	GO:0008587	imaginal disc-derived wing margin morphogenesis	6	0.89286	0.06532	FBGN0026597, FBGN0265630, FBGN0020251, FBGN0011224, FBGN0039907, FBGN0261885	544	44	10945	2.74357	1.0	1.0	0.99714	3488.5	2303.08538
70	GOTERM_BP_DIRECT	GO:0007476	imaginal disc-derived wing morphogenesis	12	1.78571	0.06908	FBGN0029944, FBGN0261285, FBGN0004395, FBGN0001075, FBGN0036801, FBGN0004607, FBGN0025800, FBGN0266557, FBGN0004390, FBGN0002932, FBGN0265598, FBGN0261885	544	134	10945	1.80174	1.0	1.0	0.99714	5021.41667	4298.81359
71	GOTERM_BP_DIRECT	GO:0030334	regulation of cell migration	3	0.44643	0.07017	FBGN0014135, FBGN0025740, FBGN0262740	544	9	10945	6.7065	1.0	1.0	0.99714	6639.33333	1917.66531
72	GOTERM_BP_DIRECT	GO:0010592	positive regulation of lamellipodium assembly	3	0.44643	0.07017	FBGN0010341, FBGN0000017, FBGN0026192	544	9	10945	6.7065	1.0	1.0	0.99714	3973.0	2383.05532
73	GOTERM_BP_DIRECT	GO:0045815	positive regulation of gene expression, epigenetic	3	0.44643	0.07017	FBGN0264495, FBGN0005386, FBGN0040071	544	9	10945	6.7065	1.0	1.0	0.99714	4182.33333	2804.70383
74	GOTERM_BP_DIRECT	GO:0031122	cytoplasmic microtubule organization	5	0.74405	0.07187	FBGN0026432, FBGN0263197, FBGN0034451, FBGN0004449, FBGN0001612	544	32	10945	3.14367	1.0	1.0	0.99714	5450.8	3595.97449
75	GOTERM_BP_DIRECT	GO:0032880	regulation of protein localization	4	0.59524	0.07393	FBGN0001075, FBGN0037949, FBGN0262740, FBGN0000017	544	20	10945	4.0239	1.0	1.0	0.99714	9154.25	4543.24798
76	GOTERM_BP_DIRECT	GO:0007266	Rho protein signal transduction	4	0.59524	0.07393	FBGN0031118, FBGN0039883, FBGN0010341, FBGN0261556	544	20	10945	4.0239	1.0	1.0	0.99714	7227.75	3159.83871
77	GOTERM_BP_DIRECT	GO:0030335	positive regulation of cell migration	4	0.59524	0.07393	FBGN0011260, FBGN0005631, FBGN0264089, FBGN0033159	544	20	10945	4.0239	1.0	1.0	0.99714	6680.5	2012.55938
78	GOTERM_BP_DIRECT	GO:0017148	negative regulation of translation	6	0.89286	0.07618	FBGN0263144, FBGN0264270, FBGN0004581, FBGN0035424, FBGN0000810, FBGN0010300	544	46	10945	2.62428	1.0	1.0	0.99714	4609.33333	2396.62156
79	KEGG_PATHWAY	dme04013:MAPK signaling pathway - fly		7	1.04167	0.08285	FBGN0029944, FBGN0265464, FBGN0016641, FBGN0024326, FBGN0261524, FBGN0004390, FBGN0003733	108	93	3261	2.2727	0.99802	1.0	1.0		
80	GOTERM_BP_DIRECT	GO:0007431	salivary gland development	4	0.59524	0.0832	FBGN0030674, FBGN0003254, FBGN0278604, FBGN0261574	544	21	10945	3.83228	1.0	1.0	0.99714	9479.0	5911.13834
81	GOTERM_BP_DIRECT	GO:0048096	chromatin-mediated maintenance of transcription	3	0.44643	0.08491	FBGN0264495, FBGN0005386, FBGN0040071	544	10	10945	6.03585	1.0	1.0	0.99714	4182.33333	2804.70383
82	GOTERM_BP_DIRECT	GO:2000274	regulation of epithelial cell migration, open tracheal system	3	0.44643	0.08491	FBGN0005631, FBGN0264089, FBGN0005626	544	10	10945	6.03585	1.0	1.0	0.99714	6247.66667	2311.28627
83	GOTERM_BP_DIRECT	GO:0008347	glial cell migration	5	0.74405	0.0859	FBGN0015774, FBGN0014135, FBGN0264089, FBGN0264491, FBGN0261617	544	34	10945	2.95875	1.0	1.0	0.99714	7267.8	3778.60775
84	GOTERM_BP_DIRECT	GO:0007280	pole cell migration	4	0.59524	0.09295	FBGN0004110, FBGN0000015, FBGN0003733, FBGN0020238	544	22	10945	3.65809	1.0	1.0	0.99714	2778.5	922.97901
85	GOTERM_BP_DIRECT	GO:0034976	response to endoplasmic reticulum stress	5	0.74405	0.09338	FBGN0033638, FBGN0039633, FBGN0261984, FBGN0262975, FBGN0029870	544	35	10945	2.87421	1.0	1.0	0.99714	5913.8	2842.4983
86	GOTERM_BP_DIRECT	GO:0007165	signal transduction	22	3.27381	0.09359	FBGN0085386, FBGN0039883, FBGN0260658, FBGN0038853, FBGN0037754, FBGN0037950, FBGN0261859, FBGN0023523, FBGN0002306, FBGN0020621, FBGN0000479, FBGN0025836, FBGN0020238, FBGN0030204, FBGN0259171, FBGN0261570, FBGN0040370, FBGN0016917, FBGN0026393, FBGN0086690, FBGN0033987, FBGN0032821	544	311	10945	1.42324	1.0	1.0	0.99714	4915.68182	2466.22137
87	GOTERM_BP_DIRECT	GO:0032368	regulation of lipid transport	2	0.29762	0.09677	FBGN0041111, FBGN0053087	544	2	10945	20.11949	1.0	1.0	0.99714	11405.5	4335.5
88	GOTERM_BP_DIRECT	GO:0034770	histone H4-K20 methylation	2	0.29762	0.09677	FBGN0005386, FBGN0025639	544	2	10945	20.11949	1.0	1.0	0.99714	6625.0	982.0
89	GOTERM_BP_DIRECT	GO:0035385	Roundabout signaling pathway	2	0.29762	0.09677	FBGN0005631, FBGN0264089	544	2	10945	20.11949	1.0	1.0	0.99714	7731.5	1186.5
90	GOTERM_BP_DIRECT	GO:1901315	negative regulation of histone H2A K63-linked ubiquitination	2	0.29762	0.09677	FBGN0002431, FBGN0260794	544	2	10945	20.11949	1.0	1.0	0.99714	9636.0	556.0
91	GOTERM_BP_DIRECT	GO:0045200	establishment of neuroblast polarity	2	0.29762	0.09677	FBGN0010341, FBGN0026192	544	2	10945	20.11949	1.0	1.0	0.99714	2311.5	486.5
